User ID,Mobile No.,User DOB,User Job,Duration,Intl_Plan,Voicemail_Plan,Voicemail_Messages,Day_Minutes,Day_Calls,Day_Charge,Eve_Minutes,Eve_Calls,Eve_Charge,Night_Minutes,Night_Calls,Night_Charge,Intl_Minutes,Intl_Calls,Intl_Charge,Service_Calls,Attrition
3487,6537028081,1969-07-18,Television camera operator,40,no,no,0.0,309.4,86,683.8000000000001,271.3,98,299.78,197.1,116,115.30999999999999,11.2,5,39.26,3,Yes
3488,9399737812,1981-08-04,Quarry manager,161,no,no,0.0,159.6,102,352.69,212.6,119,234.91,151.4,83,88.53,12.6,7,,5,Yes
3495,9496493681,2002-10-12,Dispensing optician,69,yes,no,0.0,176.8,,390.78,196.0,89,216.58,232.6,151,136.11,13.1,5,,1,Yes
3499,7741629385,1976-06-07,Production manager,114,yes,no,0.0,115.6,93,255.45,,78,180.31,251.3,104,147.03,9.7,1,34.06,2,Yes
3526,8157186467,1957-03-20,"Designer, industrial/product",104,,no,0.0,261.2,81,577.1999999999999,209.1,130,231.01,281.1,121,164.45000000000002,11.3,1,39.65,2,Yes
3541,9468456260,1993-11-21,Drilling engineer,79,yes,no,0.0,300.4,113,663.91,,93,232.96000000000004,173.4,121,101.39999999999999,11.9,3,41.73,2,Yes
3547,6711477038,1980-07-15,Toxicologist,93,no,no,,214.4,112,473.85,261.5,97,288.99,280.8,112,164.32,14.8,3,52.0,0,Yes
3549,9368290070,1977-09-29,Leisure centre manager,117,no,no,0.0,302.6,,668.72,167.1,106,184.6,,79,122.72,10.4,7,36.53,1,Yes
3550,8346713055,2005-05-13,Customer service manager,163,no,yes,30.0,195.2,123,431.34,126.4,115,139.62,221.0,90,129.35,9.0,5,31.590000000000003,5,Yes
3552,6442713170,1998-05-08,Catering manager,59,no,no,0.0,119.0,119,262.99,,115,148.59,298.6,75,174.72,9.0,6,,2,Yes
3555,8027097814,2004-10-24,Dramatherapist,72,no,no,0.0,129.8,106,286.91,188.7,138,208.51999999999998,212.5,116,124.28,8.3,4,,4,Yes
3556,9232821748,1980-12-11,Interior and spatial designer,108,yes,no,0.0,275.9,84,609.6999999999999,203.0,91,224.38000000000002,211.4,108,123.63,6.7,4,,2,Yes
3586,7695612579,1947-03-07,"Education officer, community",120,no,no,0.0,112.6,80,248.82,124.4,86,137.41,234.9,88,137.41,8.1,3,28.47,6,Yes
3588,8615106310,1980-10-14,Barrister's clerk,78,no,no,0.0,226.3,88,500.11,306.2,81,338.39,200.9,120,117.51999999999998,7.8,11,,1,Yes
3596,9433869150,1980-12-28,"Presenter, broadcasting",69,yes,no,0.0,199.7,121,441.35,189.4,92,209.3,264.0,120,154.44,11.1,4,39.0,6,Yes
3602,9418050258,1951-05-11,Clinical research associate,166,no,no,0.0,156.8,100,346.58,171.5,93,189.54,149.1,97,87.23,11.2,10,39.26,1,Yes
3605,8461846414,1958-10-11,Diagnostic radiographer,60,,no,0.0,221.0,94,488.41,308.2,72,340.59999999999997,,94,136.37,10.1,5,35.49,1,Yes
